mat_cells,Young's Modulus,Poisson Ratio,Yield Strength,CTE,Thermal Conductivity,Density,Specific Heat Capacity,Enthalpy of Oxidation,HCS,CSC
0,162570307239.29303,0.3,720790642.6087447,1.1683586345363274e-05,22.194398502127797,8137.339878882463,513.4846218292845,355.499175724681,1.180696727845257,0.530385324977524
1,162427442890.02753,0.3,721106515.9807878,1.1656876196751711e-05,22.196908683763592,8137.465801164937,513.5343639423676,355.3318795536956,1.1908479297803736,0.5357012394795073
2,162286282524.85785,0.3,721429923.4295459,1.163026413873325e-05,22.199150302186908,8137.590076484365,513.5862084228121,355.16467759579916,1.2011124644080169,0.541039805600945
3,162146770196.3453,0.3,721760878.7225512,1.1603750072005025e-05,22.201150538960817,8137.712631694302,513.6402809905917,354.9975716929891,1.2115092073671498,0.5464017246830634
4,162008775831.5317,0.3,722098668.1545604,1.1577334714054971e-05,22.202884830770138,8137.834289499,513.6966036228621,354.8305751331813,1.221777262644319,0.5517860830291524
5,161872245136.0957,0.3,722443228.3650097,1.1551017946580103e-05,22.204373522961934,8137.954990083506,513.7553028650345,354.6636913414284,1.2320131243569459,0.557194245537598
6,161737079415.76263,0.3,722794054.5639551,1.1524800163618361e-05,22.205608630823875,8138.074774675223,513.816489881703,354.4969306605512,1.2424434459867417,0.5626313622382646
7,161603204187.16876,0.3,723150812.1436211,1.1498682077688586e-05,22.206574228131636,8138.193352275215,513.8802384364284,354.33029394536743,1.2529421365591422,0.5680886611686471
8,161470562524.0272,0.3,723513294.9510918,1.147266402291899e-05,22.207325956307884,8138.310380416667,513.9466559730482,354.16378190699464,1.263793703963176,0.5735600565465913
9,161339061113.45575,0.3,723880915.6309291,1.1446746258329325e-05,22.207752505942167,8138.42707043889,514.0158365369241,353.9974040234276,1.272399252854344,0.5790513969339112
10,161208666184.75272,0.3,724253601.8792129,1.1420928501467379e-05,22.20799631003809,8138.543544510066,514.0879295140188,353.8311628845134,1.27909697876794,0.5845629130497543
11,161079289231.39957,0.3,724630732.2954435,1.1395211972138767e-05,22.207937940106717,8138.658835061874,514.1629569961262,353.66507781547364,1.2882426996715532,0.5900831315886679
12,160950896239.63284,0.3,725012155.6251953,1.136959651343789e-05,22.20767283824482,8138.773301820622,514.2410701865656,353.4991476594962,1.2990827778596137,0.5956224495413144
13,160823422772.8449,0.3,725397409.6147689,1.1344082520964962e-05,22.207147745738702,8138.887581398654,514.322393070014,353.3333736391651,1.3095806989976833,0.6012082749411122
14,160696818977.46008,0.3,725786107.9352685,1.1318670605507798e-05,22.206358828898093,8139.001526267765,514.4069911617814,353.1677566057498,1.320125325010762,0.6068135672432167
15,160571049575.19406,0.3,726178019.5139414,1.1293360879269981e-05,22.205307985521685,8139.115083713395,514.4949840431417,353.0022971285163,1.3310109353225414,0.6124236630227682
16,160446051337.67538,0.3,726572537.2136955,1.1268154266128566e-05,22.20402878205947,8139.228652818848,514.5864578665781,352.8369939181878,1.3395020818837706,0.6180472451312468
17,160321803781.97305,0.3,726969526.4066525,1.1243050495026555e-05,22.202479108761313,8139.342255430941,514.6815854499323,352.67184943462524,1.346081655259959,0.6236843157289202
18,160198247183.16678,0.3,727368342.317468,1.1218050157350946e-05,22.200698907290693,8139.455427516629,514.7803964198523,352.50690275865037,1.3556976068357272,0.6293248909422094
19,160075359079.3786,0.3,727768754.1048648,1.1193153229128334e-05,22.198660392110686,8139.56835801975,514.8830492783349,352.34214344436447,1.3662821981762223,0.6349756514849704
20,159953096893.66483,0.3,728170267.2097114,1.1168360212678943e-05,22.196376513794643,8139.681290111305,514.9896519480445,352.17755398646904,1.3729542501249714,0.6406496172925313
21,159831425294.55435,0.3,728572393.9389126,1.1143671873346231e-05,22.193848804800798,8139.794444494904,515.1002666985697,352.01315215572043,1.3802214713599443,0.6463412689052462
22,159710321651.14758,0.3,728974864.7325609,1.111908835499531e-05,22.19106831089193,8139.908038566482,515.2150219079193,351.84894635543685,1.3907791432000653,0.6520499397594259
23,159589740426.20798,0.3,729376946.259412,1.1094610601372277e-05,22.188050984429783,8140.0216005259535,515.3340255834456,351.68493329030855,1.4024832047184008,0.6583345131957121
24,174378268679.05865,0.3,839506246.3762887,1.3156845940542388e-05,21.58273449022735,8130.059436922946,512.2140697688078,363.68643835596555,0.7075808480438175,0.30852654834828647
25,174271280485.55582,0.3,838624109.1611935,1.3145338308088905e-05,21.59086572147421,8130.127486370126,512.2205590443068,363.6253395231707,0.7109932088670515,0.3097633100863682
26,174131109477.0519,0.3,837339272.4675767,1.3131089812952113e-05,21.600907568887806,8130.210416964895,512.2286017869226,363.5496577326466,0.715364016429897,0.3113008303810542
27,173953708004.13718,0.3,835647599.9433025,1.311347490095948e-05,21.613281222445735,8130.310774653163,512.2385568231028,363.456001060976,0.7205892120781024,0.31321501281812086
28,173735558337.47498,0.3,833579242.1266241,1.3091739790919027e-05,21.628486988880113,8130.43124477765,512.2508597654464,363.34025313917107,0.7261913366781595,0.3156029149872267
29,173459988745.37076,0.3,830836693.0219129,1.3064983860405086e-05,21.647112174970236,8130.5748548477195,512.266033182836,363.197532579853,0.7325063661218585,0.31857659276733674
30,173124615696.30164,0.3,827438642.9711474,1.3032142532909156e-05,21.669826204916493,8130.744071687408,512.2846878039755,363.0218844300772,0.7415752629377333,0.32226422661351917
31,172718503348.95477,0.3,823224557.0543329,1.2991975131110672e-05,21.697387277882576,8130.94098028725,512.3075550486357,362.80635066403136,0.7542642516810708,0.3268319104311665
32,172227912869.53415,0.3,817933494.1110866,1.2943062438914493e-05,21.7306161160776,8131.165834659568,512.3355240027659,362.5425385203682,0.7668376578914531,0.33248147353945623
33,171639705502.2911,0.3,811239566.4648765,1.2883814093779309e-05,21.770367839197615,8131.416796875993,512.3695482140705,362.22345625941125,0.7856457104666351,0.3394654114658358
34,170940996915.1807,0.3,802650737.4808018,1.281253994790856e-05,21.817463615895385,8131.688711850275,512.4112482931196,361.877589389864,0.80550771745138,0.3480539831584713
35,170120523429.88406,0.3,791334540.1920375,1.272741259871104e-05,21.872615694167067,8131.973654917099,512.4613626218382,361.4662565237855,0.8294409539819697,0.35862367945523
36,169170744506.79642,0.3,775500029.0705192,1.2626716004010824e-05,21.93627054122622,8132.255060439784,512.5219071194014,360.9744028443576,0.8566677806737805,0.37151998127383656
